first,last,gender,dob,mobile,email,address1,address2,city,state,zipcode,timestamp
"heart","Heart Rate",,,,,,,,,,2016-04-17T13:07:19Z
"meds","Medication",,,,,,,,,,2016-04-17T13:07:19Z
"lux","Lumens",,,,,,,,,,2016-04-17T13:07:19Z
"h","Humidity",,,,,,,,,,2016-04-17T13:07:19Z
"p","Pressure",,,,,,,,,,2016-04-17T13:07:19Z
"ch4","Methane",,,,,,,,,,2016-04-17T13:07:19Z
"lpg","Butane",,,,,,,,,,2016-04-17T13:07:19Z
"co","Carbon Monoxide",,,,,,,,,,2016-04-17T13:07:19Z
"t","Temperature",,,,,,,,,,2016-04-17T13:07:19Z
"joe","schmoe",,,,,,,,,,2016-04-23T15:39:50Z
"Frank","Abagnale","male","2016-04-25T11=20=50.536Z","7071234567","sky@cmu.edu","123 Big Wok Way","Apt 909","Pittsburgh","PA","15213",2016-04-25T12:02:36Z
,,,,,,,,"Duckburg",,,2016-04-25T20:41:06Z
"ester","rohbark",,,,,,,,,,2016-04-25T20:43:16Z
"ester1","rohbark1",,,,,,,,,,2016-04-25T20:49:58Z
"ester2","rohbark2",,,,,,,,,,2016-04-25T21:02:10Z
"Madhuri","Gopal",,,,,,,,,,2016-04-25T21:03:46Z
"first_name","last_name",,,,,,,,,,2016-04-25T21:35:53Z
"Madhuri","Gopal","","","4129082135","gopal.madhuri@gmail.com","No 2, Bayard Road,","Apt#2,","Pittsburgh","Pennsylvania","15213",2016-04-25T21:37:28Z
"first_name1","last_name1",,,,,,,,,,2016-04-25T21:37:28Z
"","","","","","","","","","","",2016-04-25T21:43:02Z
"first_name2","last_name2",,,,,,,,,,2016-04-25T21:43:02Z
"madhuri","gopal","","","4129082135","gopal.madhuri@gmail.com","No 2, Bayard Road,","Apt#2,","Pittsburgh","Pennsylvania","15213",2016-04-25T21:44:16Z
"madhuri","gopal","female","september","4128908908","ester@gmail.com","£1","civil aviation colony","Pittsburgh","Pennsylvania","15213",2016-04-25T21:45:01Z
"madhuri","gopal","female","december","4128908908","ester@gmail.com","£1","civil aviation colony","Pittsburgh","Pennsylvania","15213",2016-04-25T21:46:03Z
"Patient Ester","Rohbark","Female","September","4128908908","ester@gmail.com","£1","civil aviation colony","Pittsburgh","Pennsylvania","15213",2016-04-25T21:48:19Z
"first_name","last_name",,,,,,,,,,2016-04-25T22:26:00Z
"l;","","","","","","","","","","",2016-04-26T12:55:31Z
"christine","law","","","","","","","","","",2016-05-02T18:01:23Z
"Ester","Rohbark","Female","1989","4129082135","gopal.madhuri@gmail.com","5th & Bayard","","Pittsburgh","PA","15213",2016-05-02T19:19:31Z
